id;adresse_norm
998587;5003 RUE AURORE SAND 87600 VAYRES
998591;5231  BONNEFOND 87600 VAYRES
998588;5012 RUE AURORE SAND 87600 VAYRES
998586;27 RUE ROMAIN ROLLAND 87600 ROCHECHOUART
998594;5579  CARRIERES DE MERLIS 87600 VAYRES
998595;46  CHEZ BEJARD 87600 VAYRES
998590;5013 RUE BELLES ROSES 87600 VAYRES
998596;5533  CHEZ BEJARD 87600 VAYRES
998597;5004 RUE FEE DES NEIGES 87600 VAYRES
998593;5586  BONNEFOND 87600 VAYRES
998592;5233  BONNEFOND 87600 VAYRES
998585;12 RUE PORTE BERAUD 87600 ROCHECHOUART
998601;5344  LAUDONIE 87600 VAYRES
998608; IMP BIZET 87620 SEREILHAC
998609;332 PAS CHEZ MANA 87620 SEREILHAC
998598;5448  LA BUSSIERE 87600 VAYRES
998602;1  LE PETIT MEYNIEUX 87600 VAYRES
998610;44 AV D'OCCITANIE 87620 SEREILHAC
998606;5060  SAINT GERVAIS 87600 VIDEIX
998611;46 AV D'OCCITANIE 87620 SEREILHAC
998604;5581  PONT CHEZ NOUAILLAS 87600 VAYRES
998600;17  LAUDONIE 87600 VAYRES
998599;5483  LA TREILLE 87600 VAYRES
998607;13 RUE ALPHONSE DE LAMARTINE 87620 SEREILHAC
998605;5207  PUY TREILLARD 87600 VAYRES
998617;2 RUE DE LA PAIX RETROUVEE 87620 SEREILHAC
998616;86 IMP DE LA MONNERIE 87620 SEREILHAC
998603;5228  LES PIECES DE BONNEFOND 87600 VAYRES
998613;541 RTE DE COGNAC 87620 SEREILHAC
998612;364 RTE DE CHAUFFARIE 87620 SEREILHAC
998614;104 RTE DE GATEBOURG 87620 SEREILHAC
998615;16 RUE DE LA FONTAINE ST JEAN 87620 SEREILHAC
998621;17 IMP DU PRE DE LA FONT 87620 SEREILHAC
998618;1 IMP DES CHAMPS 87620 SEREILHAC
998623;5602  LA GRANDE LANDE 87620 SEREILHAC
998622;1 RUE DUPUYTREN 87620 SEREILHAC
998626;11 RUE MOZART 87620 SEREILHAC
